"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","ath03060","Protein export","60/4731","62/6305",0.967741935483871,1.28970892057193,3.97414087175202,3.95209759831288e-06,4.47904394475459e-05,1.73337613961091e-05,"AT1G01910/AT1G06870/AT1G09080/AT1G15310/AT1G21650/AT1G23465/AT1G24490/AT1G29310/AT1G29960/AT1G48160/AT1G48900/AT1G52600/AT1G53530/AT1G67650/AT1G67680/AT1G78720/AT1G79940/AT2G01110/AT2G18710/AT2G18770/AT2G22425/AT2G28800/AT2G30440/AT2G34250/AT2G39960/AT2G43640/AT2G45070/AT2G45770/AT2G46470/AT3G05230/AT3G08980/AT3G10350/AT3G15710/AT3G20920/AT3G24590/AT3G48570/AT3G49100/AT3G60540/AT4G01800/AT4G04200/AT4G08320/AT4G16444/AT4G21180/AT4G24920/AT4G30500/AT4G30600/AT4G40042/AT5G03940/AT5G05670/AT5G27430/AT5G28540/AT5G28750/AT5G42020/AT5G49500/AT5G50460/AT5G60460/AT5G60730/AT5G61970/AT5G62050/AT5G63220",60
"Genetic Information Processing","Translation","ath03015","mRNA surveillance pathway","108/4731","119/6305",0.907563025210084,1.20950853391452,3.99993056914276,1.0145741208912e-05,0.000106140061877849,4.10758753397249e-05,"AT1G02140/AT1G03960/AT1G10430/AT1G11400/AT1G12920/AT1G13120/AT1G13190/AT1G13320/AT1G13460/AT1G15200/AT1G16610/AT1G17720/AT1G17760/AT1G17980/AT1G18070/AT1G25490/AT1G27595/AT1G30460/AT1G33980/AT1G49760/AT1G51380/AT1G51510/AT1G51690/AT1G54450/AT1G58470/AT1G59830/AT1G61010/AT1G64040/AT1G66260/AT1G66500/AT1G69960/AT1G71770/AT1G71800/AT1G73820/AT2G13540/AT2G23350/AT2G25850/AT2G29210/AT2G29400/AT2G33410/AT2G36480/AT2G39260/AT2G39840/AT2G42500/AT2G45640/AT3G04680/AT3G05580/AT3G07810/AT3G09100/AT3G19760/AT3G20650/AT3G21650/AT3G25800/AT3G26020/AT3G26030/AT3G26618/AT3G46820/AT3G52150/AT3G52210/AT3G53110/AT3G54930/AT3G58500/AT4G04885/AT4G11240/AT4G14300/AT4G15415/AT4G25550/AT4G27650/AT4G29820/AT4G32850/AT4G34110/AT4G36960/AT4G39680/AT5G01290/AT5G01400/AT5G02530/AT5G03470/AT5G10350/AT5G10630/AT5G11170/AT5G11200/AT5G14530/AT5G18440/AT5G18580/AT5G19400/AT5G23880/AT5G25510/AT5G27840/AT5G28850/AT5G28900/AT5G37720/AT5G43380/AT5G43620/AT5G44090/AT5G44200/AT5G47010/AT5G47620/AT5G47880/AT5G51120/AT5G51660/AT5G55550/AT5G55670/AT5G58470/AT5G59160/AT5G59950/AT5G60940/AT5G65260/AT5G66240",108
"Genetic Information Processing","Translation","ath03013","Nucleocytoplasmic transport","96/4731","105/6305",0.914285714285714,1.21846785638796,3.91352907261619,1.44215634966021e-05,0.000140095188252706,5.42164041225644e-05,"AT1G02140/AT1G02690/AT1G07920/AT1G07930/AT1G07940/AT1G09270/AT1G10390/AT1G11400/AT1G12930/AT1G13120/AT1G14850/AT1G15200/AT1G16610/AT1G24310/AT1G24706/AT1G26170/AT1G33410/AT1G33980/AT1G45233/AT1G51380/AT1G51510/AT1G55540/AT1G59660/AT1G64350/AT1G66260/AT1G72560/AT1G73240/AT1G75340/AT1G79280/AT1G80670/AT1G80680/AT2G03820/AT2G05120/AT2G13540/AT2G16950/AT2G19430/AT2G29210/AT2G30050/AT2G31660/AT2G32790/AT2G39260/AT2G41620/AT2G45000/AT2G45640/AT2G46520/AT3G01340/AT3G02420/AT3G02950/AT3G03110/AT3G04490/AT3G05040/AT3G06720/AT3G08943/AT3G08947/AT3G08960/AT3G14120/AT3G16310/AT3G19760/AT3G20430/AT3G53110/AT3G56900/AT3G57350/AT3G59020/AT3G63130/AT4G02150/AT4G24880/AT4G27640/AT4G27960/AT4G30840/AT4G32910/AT4G37130/AT4G38760/AT4G39680/AT5G02530/AT5G03070/AT5G05680/AT5G06120/AT5G09860/AT5G11170/AT5G11200/AT5G16790/AT5G17020/AT5G19320/AT5G19820/AT5G20010/AT5G20020/AT5G37720/AT5G40480/AT5G42920/AT5G44200/AT5G47010/AT5G51200/AT5G53480/AT5G55190/AT5G59950/AT5G62600",96
"Genetic Information Processing","Folding, sorting and degradation","ath03050","Proteasome","58/4731","61/6305",0.950819672131147,1.26715663343625,3.63480941785145,3.58062186949871e-05,0.000324643049501216,0.00012563585507013,"AT1G04810/AT1G09100/AT1G13060/AT1G16470/AT1G20200/AT1G21720/AT1G29150/AT1G45000/AT1G47250/AT1G53750/AT1G53780/AT1G56450/AT1G64520/AT1G64750/AT1G67250/AT1G75990/AT1G77440/AT1G79210/AT2G05840/AT2G20580/AT2G26590/AT2G27020/AT2G32730/AT3G05530/AT3G11270/AT3G13330/AT3G14290/AT3G22110/AT3G22630/AT3G26340/AT3G27430/AT3G51260/AT3G53970/AT3G60820/AT4G14800/AT4G15165/AT4G19006/AT4G24820/AT4G28470/AT4G29040/AT4G31300/AT4G38630/AT5G05780/AT5G09900/AT5G19990/AT5G20000/AT5G23540/AT5G35590/AT5G40580/AT5G42040/AT5G42790/AT5G43010/AT5G45010/AT5G45620/AT5G57950/AT5G58290/AT5G64760/AT5G66140",58
"Genetic Information Processing","Folding, sorting and degradation","ath04141","Protein processing in endoplasmic reticulum","188/4731","220/6305",0.854545454545454,1.13885205895352,3.63425657986971,9.20799538768265e-05,0.000782679607953025,0.00030289458512114,"AT1G02620/AT1G04850/AT1G04980/AT1G05520/AT1G07400/AT1G08450/AT1G09080/AT1G09180/AT1G09210/AT1G10230/AT1G11905/AT1G16030/AT1G16190/AT1G17280/AT1G18260/AT1G18830/AT1G19310/AT1G20140/AT1G21750/AT1G24320/AT1G27520/AT1G29310/AT1G30000/AT1G32210/AT1G34130/AT1G35620/AT1G36340/AT1G51590/AT1G52260/AT1G52560/AT1G53540/AT1G54050/AT1G56330/AT1G56340/AT1G59860/AT1G61790/AT1G64230/AT1G65040/AT1G67490/AT1G71220/AT1G72280/AT1G73570/AT1G75950/AT1G76400/AT1G77350/AT1G77510/AT1G78720/AT1G79650/AT1G79940/AT2G01470/AT2G01650/AT2G01720/AT2G04030/AT2G16595/AT2G16740/AT2G17190/AT2G17200/AT2G17520/AT2G18710/AT2G21160/AT2G21270/AT2G21630/AT2G23780/AT2G29070/AT2G29500/AT2G30050/AT2G32920/AT2G34250/AT2G35520/AT2G38960/AT2G40290/AT2G43210/AT2G45070/AT2G47470/AT2G47970/AT3G01340/AT3G07100/AT3G07190/AT3G07370/AT3G07770/AT3G08690/AT3G08700/AT3G09350/AT3G09440/AT3G09840/AT3G12580/AT3G16090/AT3G16110/AT3G17000/AT3G18860/AT3G20450/AT3G20920/AT3G21160/AT3G21660/AT3G23660/AT3G44110/AT3G44340/AT3G46460/AT3G48570/AT3G51980/AT3G52190/AT3G53230/AT3G53800/AT3G54130/AT3G54960/AT3G55380/AT3G57340/AT3G58030/AT3G60010/AT3G60540/AT3G62560/AT3G62600/AT3G63000/AT3G63460/AT4G02080/AT4G02570/AT4G03510/AT4G04210/AT4G04860/AT4G14160/AT4G15410/AT4G16660/AT4G20310/AT4G21150/AT4G21180/AT4G21810/AT4G21870/AT4G22150/AT4G24190/AT4G24280/AT4G24920/AT4G25200/AT4G25230/AT4G27470/AT4G28270/AT4G29330/AT4G29870/AT4G32640/AT4G32670/AT4G34100/AT4G38930/AT5G02150/AT5G02490/AT5G02500/AT5G03160/AT5G03340/AT5G05470/AT5G05750/AT5G07340/AT5G12020/AT5G12030/AT5G14030/AT5G15400/AT5G19660/AT5G19690/AT5G20970/AT5G22060/AT5G28540/AT5G35080/AT5G37670/AT5G38470/AT5G41700/AT5G42020/AT5G42570/AT5G43670/AT5G43710/AT5G48660/AT5G49060/AT5G49570/AT5G49910/AT5G50430/AT5G50460/AT5G51440/AT5G51450/AT5G52640/AT5G53300/AT5G56000/AT5G56010/AT5G56030/AT5G56150/AT5G56360/AT5G59300/AT5G59720/AT5G60460/AT5G60640/AT5G61790/AT5G63840/AT5G66680",188
"Cellular Processes","Transport and catabolism","ath04136","Autophagy - other","40/4731","41/6305",0.975609756097561,1.30019435895056,3.34311097354425,0.00010866598838583,0.000825313316812633,0.000319393698456901,"AT1G10430/AT1G50030/AT1G54210/AT1G59830/AT1G60490/AT1G62040/AT1G69960/AT2G05630/AT2G31260/AT2G37840/AT2G42500/AT2G44140/AT2G45170/AT3G06420/AT3G07525/AT3G08850/AT3G13970/AT3G15580/AT3G18140/AT3G18770/AT3G19190/AT3G49590/AT3G53930/AT3G58500/AT3G59950/AT3G60640/AT3G61710/AT4G04620/AT4G16520/AT4G21980/AT4G29380/AT4G30510/AT4G30790/AT5G01770/AT5G17290/AT5G45900/AT5G50230/AT5G53000/AT5G61500/AT5G66930",40
"Metabolism","Amino acid metabolism","ath00260","Glycine, serine and threonine metabolism","65/4731","70/6305",0.928571428571429,1.23750641664402,3.46408349012379,0.00010923264487226,0.000825313316812633,0.000319393698456901,"AT1G08630/AT1G09780/AT1G11860/AT1G12550/AT1G14810/AT1G17745/AT1G18640/AT1G22020/AT1G22170/AT1G23310/AT1G31230/AT1G31690/AT1G31710/AT1G32470/AT1G36370/AT1G48030/AT1G54100/AT1G62810/AT1G68010/AT1G70580/AT1G72810/AT1G74920/AT1G78050/AT1G80380/AT2G13360/AT2G17265/AT2G17630/AT2G24580/AT2G26080/AT2G35120/AT2G35370/AT2G42490/AT3G02020/AT3G04520/AT3G08590/AT3G08860/AT3G10050/AT3G16950/AT3G17240/AT3G19480/AT3G43670/AT3G48170/AT3G50520/AT3G54640/AT4G02610/AT4G11640/AT4G12290/AT4G13890/AT4G14940/AT4G16155/AT4G19710/AT4G27070/AT4G29840/AT4G29890/AT4G32520/AT4G33010/AT4G34200/AT4G35630/AT4G37930/AT4G39660/AT5G13280/AT5G14060/AT5G28237/AT5G38530/AT5G54810",65
"Metabolism","Lipid metabolism","ath00564","Glycerophospholipid metabolism","89/4731","99/6305",0.898989898989899,1.19808313530571,3.4438277835187,0.000154880084843817,0.00110861534414522,0.000429030705938551,"AT1G02390/AT1G06520/AT1G07230/AT1G12640/AT1G13560/AT1G15080/AT1G15110/AT1G32200/AT1G43710/AT1G48600/AT1G52570/AT1G55180/AT1G62430/AT1G63050/AT1G68000/AT1G71697/AT1G73600/AT1G74210/AT1G74320/AT1G75020/AT1G78690/AT1G80860/AT1G80950/AT2G01180/AT2G06925/AT2G18730/AT2G20900/AT2G26830/AT2G26870/AT2G32260/AT2G38110/AT2G38670/AT2G39290/AT2G40690/AT2G41540/AT2G42010/AT2G45150/AT2G45670/AT3G02040/AT3G03310/AT3G03530/AT3G05510/AT3G05630/AT3G07690/AT3G09560/AT3G10370/AT3G11430/AT3G15650/AT3G15730/AT3G16785/AT3G18000/AT3G18850/AT3G25585/AT3G48610/AT3G55030/AT3G57140/AT3G57650/AT3G58830/AT3G60620/AT4G00240/AT4G00400/AT4G01950/AT4G04870/AT4G09760/AT4G11830/AT4G11840/AT4G11850/AT4G15130/AT4G16700/AT4G19860/AT4G22340/AT4G24730/AT4G25970/AT4G30340/AT4G30580/AT4G35790/AT4G38570/AT5G04040/AT5G06090/AT5G07920/AT5G08030/AT5G20060/AT5G25370/AT5G40610/AT5G41080/AT5G42870/AT5G57190/AT5G60620/AT5G63770",89
"Cellular Processes","Transport and catabolism","ath04148","Efferocytosis","50/4731","53/6305",0.943396226415094,1.25726341313616,3.26053367166303,0.00024233075385892,0.00164784912624066,0.000637712510155053,"AT1G07880/AT1G08450/AT1G09210/AT1G10130/AT1G12470/AT1G16360/AT1G20090/AT1G22740/AT1G22860/AT1G49300/AT1G52280/AT1G54320/AT1G56340/AT1G59820/AT1G75840/AT1G79450/AT2G04550/AT2G05170/AT2G15230/AT2G17800/AT2G21880/AT2G38020/AT2G44690/AT3G12740/AT3G16100/AT3G18820/AT3G48040/AT3G51300/AT3G54840/AT3G54860/AT4G00800/AT4G08870/AT4G08900/AT4G09720/AT4G19640/AT4G21534/AT4G21540/AT4G28950/AT4G35020/AT4G35950/AT4G36630/AT4G36850/AT5G04930/AT5G13430/AT5G13440/AT5G27650/AT5G45130/AT5G45970/AT5G46150/AT5G56580",50
"Metabolism","Global and overview maps","ath01232","Nucleotide metabolism","76/4731","84/6305",0.904761904761905,1.20577548288392,3.29143576656883,0.000287756990522076,0.0018635690814763,0.000721195464967609,"AT1G05620/AT1G14230/AT1G14240/AT1G14250/AT1G16350/AT1G26160/AT1G27450/AT1G30820/AT1G36280/AT1G55810/AT1G63660/AT1G71750/AT1G72880/AT1G73980/AT1G79470/AT1G80050/AT2G02970/AT2G21550/AT2G21790/AT2G23820/AT2G36310/AT2G37250/AT2G38280/AT2G38680/AT2G39270/AT2G41880/AT3G01820/AT3G04080/AT3G06200/AT3G07800/AT3G09820/AT3G12670/AT3G18680/AT3G23580/AT3G25400/AT3G27060/AT3G27190/AT3G27440/AT3G46940/AT3G48540/AT3G53900/AT3G57550/AT3G57610/AT3G60180/AT4G02120/AT4G09320/AT4G11010/AT4G12440/AT4G13720/AT4G14930/AT4G18440/AT4G20320/AT4G22570/AT4G25280/AT4G26510/AT4G29570/AT4G29610/AT4G29640/AT4G29680/AT4G34570/AT4G34890/AT4G34900/AT5G03300/AT5G11160/AT5G18280/AT5G23070/AT5G26667/AT5G35170/AT5G40870/AT5G47840/AT5G50370/AT5G59440/AT5G60340/AT5G63310/AT5G63400/AT5G66005",76
"Metabolism","Energy metabolism","ath00710","Carbon fixation by Calvin cycle","65/4731","71/6305",0.915492957746479,1.22007674880396,3.23297353296846,0.000343568446608095,0.00212387766994095,0.000821934082794485,"AT1G04410/AT1G12900/AT1G13440/AT1G16300/AT1G17290/AT1G23310/AT1G32060/AT1G42970/AT1G43670/AT1G53240/AT1G53310/AT1G56190/AT1G62800/AT1G63290/AT1G67090/AT1G70580/AT1G71100/AT1G72330/AT1G79530/AT1G79550/AT1G79750/AT2G01140/AT2G01290/AT2G13560/AT2G19900/AT2G21170/AT2G21330/AT2G22780/AT2G30970/AT2G36460/AT2G42600/AT3G01850/AT3G04120/AT3G04790/AT3G12780/AT3G14940/AT3G15020/AT3G26650/AT3G47520/AT3G52930/AT3G54050/AT3G55440/AT3G55800/AT3G60750/AT4G00570/AT4G15530/AT4G26520/AT4G26530/AT4G38970/AT5G03690/AT5G09660/AT5G11520/AT5G11670/AT5G13420/AT5G19550/AT5G25880/AT5G38410/AT5G38420/AT5G38430/AT5G44520/AT5G56720/AT5G58330/AT5G61410/AT5G64380/AT5G65690",65
"Metabolism","Carbohydrate metabolism","ath00030","Pentose phosphate pathway","54/4731","58/6305",0.931034482758621,1.240788927033,3.19372095286499,0.000363622113978327,0.00215011336961098,0.000832087217341709,"AT1G09420/AT1G12000/AT1G13700/AT1G17160/AT1G20950/AT1G23190/AT1G24280/AT1G32380/AT1G43670/AT1G63290/AT1G64190/AT1G70730/AT1G71100/AT1G76550/AT2G01140/AT2G01290/AT2G16790/AT2G21330/AT2G22480/AT2G24270/AT2G35390/AT2G36460/AT2G44530/AT3G01850/AT3G02360/AT3G04790/AT3G27300/AT3G49360/AT3G52930/AT3G54050/AT3G60750/AT4G24620/AT4G26270/AT4G26520/AT4G26530/AT4G29220/AT4G32840/AT4G38970/AT5G03690/AT5G13110/AT5G13420/AT5G24400/AT5G24420/AT5G35790/AT5G40760/AT5G41670/AT5G42740/AT5G44520/AT5G47810/AT5G51820/AT5G56630/AT5G61410/AT5G61580/AT5G64380",54
"Metabolism","Metabolism of cofactors and vitamins","ath00785","Lipoic acid metabolism","35/4731","36/6305",0.972222222222222,1.29567979520421,3.08429547316593,0.000408600704891664,0.0023154039943861,0.000896054177394001,"AT1G01090/AT1G04640/AT1G11860/AT1G21400/AT1G24180/AT1G30120/AT1G32470/AT1G34430/AT1G47578/AT1G48030/AT1G54220/AT1G55510/AT1G59900/AT2G20860/AT2G26080/AT2G34590/AT2G35120/AT2G35370/AT3G06850/AT3G13450/AT3G13930/AT3G16950/AT3G17240/AT3G25860/AT3G52200/AT3G55410/AT4G16155/AT4G26910/AT4G31050/AT4G33010/AT5G08415/AT5G09300/AT5G50850/AT5G55070/AT5G65750",35
"Metabolism","Lipid metabolism","ath00061","Fatty acid biosynthesis","41/4731","43/6305",0.953488372093023,1.27071320778831,3.08794355658008,0.000483354843844581,0.0024606539250402,0.00095226545086695,"AT1G08510/AT1G24360/AT1G36160/AT1G36180/AT1G43800/AT1G49430/AT1G62640/AT1G64400/AT1G74960/AT1G77590/AT2G04350/AT2G04540/AT2G05990/AT2G22230/AT2G30200/AT2G38040/AT2G43710/AT2G47240/AT3G02610/AT3G02620/AT3G02630/AT3G03980/AT3G04000/AT3G05970/AT3G16170/AT3G23790/AT3G25110/AT3G45770/AT4G13050/AT4G13180/AT4G14070/AT4G23850/AT5G10160/AT5G15530/AT5G16230/AT5G16240/AT5G16390/AT5G18210/AT5G27600/AT5G35360/AT5G46290",41
"Genetic Information Processing","Replication and repair","ath03030","DNA replication","41/4731","43/6305",0.953488372093023,1.27071320778831,3.08794355658008,0.000483354843844581,0.0024606539250402,0.00095226545086695,"AT1G07370/AT1G08130/AT1G08260/AT1G08840/AT1G09815/AT1G21690/AT1G44900/AT1G50840/AT1G63160/AT1G67320/AT1G67630/AT1G77470/AT1G78650/AT2G06510/AT2G07690/AT2G16440/AT2G24490/AT2G25100/AT2G27470/AT2G29570/AT2G39440/AT2G42120/AT3G02920/AT3G18580/AT3G20540/AT4G02060/AT4G18590/AT4G19130/AT4G20325/AT5G08020/AT5G22010/AT5G22110/AT5G26680/AT5G27740/AT5G41880/AT5G44635/AT5G45400/AT5G46280/AT5G61000/AT5G63960/AT5G67100",41
"Genetic Information Processing","Replication and repair","ath03410","Base excision repair","47/4731","50/6305",0.94,1.25273726484887,3.11044723604307,0.000488512176294745,0.0024606539250402,0.00095226545086695,"AT1G05900/AT1G07370/AT1G08130/AT1G08260/AT1G09815/AT1G10520/AT1G13635/AT1G15970/AT1G19480/AT1G21690/AT1G21710/AT1G50840/AT1G63160/AT1G75090/AT1G75230/AT1G77470/AT1G78650/AT1G80420/AT1G80850/AT2G27470/AT2G29570/AT2G31320/AT2G31450/AT2G31865/AT2G31870/AT2G41460/AT2G42120/AT3G07930/AT3G12040/AT3G12710/AT3G14890/AT3G18630/AT3G20540/AT3G47830/AT3G50880/AT4G02390/AT4G12740/AT5G01310/AT5G13920/AT5G15170/AT5G22010/AT5G22110/AT5G26680/AT5G27740/AT5G44680/AT5G57970/AT5G63960",47
"Metabolism","Metabolism of cofactors and vitamins","ath00770","Pantothenate and CoA biosynthesis","33/4731","34/6305",0.970588235294118,1.29350218210303,2.97484679786011,0.000690735808839284,0.00335500250007652,0.00129837558052497,"AT1G10060/AT1G10070/AT1G12350/AT1G23800/AT1G44170/AT1G48605/AT1G50110/AT1G60440/AT1G65840/AT2G18250/AT2G27490/AT2G31810/AT2G43020/AT2G46110/AT3G11470/AT3G17810/AT3G18030/AT3G23940/AT3G48000/AT3G48560/AT3G49680/AT3G58610/AT3G59050/AT3G61530/AT4G29680/AT4G34240/AT4G36250/AT5G02080/AT5G12200/AT5G16290/AT5G48840/AT5G64370/AT5G65780",33
"Metabolism","Global and overview maps","ath01250","Biosynthesis of nucleotide sugars","89/4731","101/6305",0.881188118811881,1.1743587167848,3.06232069062239,0.000826238767217244,0.00387477490832915,0.00149952589331623,"AT1G01220/AT1G02000/AT1G05610/AT1G06020/AT1G06030/AT1G08200/AT1G12780/AT1G14520/AT1G16340/AT1G17890/AT1G23190/AT1G26570/AT1G27680/AT1G30540/AT1G30620/AT1G31070/AT1G47840/AT1G50390/AT1G50460/AT1G53000/AT1G53500/AT1G63000/AT1G63180/AT1G66430/AT1G67070/AT1G70730/AT1G73250/AT1G74910/AT1G78570/AT1G79500/AT2G04650/AT2G19860/AT2G21590/AT2G27860/AT2G28760/AT2G31390/AT2G34850/AT2G35020/AT2G39770/AT2G45790/AT2G47650/AT3G01640/AT3G02230/AT3G02570/AT3G03250/AT3G06580/AT3G08900/AT3G10700/AT3G14790/AT3G20040/AT3G23820/AT3G24090/AT3G29360/AT3G42850/AT3G46440/AT3G51160/AT3G53520/AT3G54690/AT3G59480/AT3G62830/AT4G00110/AT4G10960/AT4G12250/AT4G16130/AT4G20460/AT4G23920/AT4G24620/AT4G26260/AT4G29130/AT4G30570/AT4G33030/AT4G39210/AT5G14470/AT5G15490/AT5G15650/AT5G16510/AT5G17310/AT5G18070/AT5G18200/AT5G19220/AT5G28840/AT5G39320/AT5G42740/AT5G44480/AT5G48300/AT5G50750/AT5G51820/AT5G51830/AT5G52560",89
"Metabolism","Amino acid metabolism","ath00330","Arginine and proline metabolism","50/4731","54/6305",0.925925925925926,1.23398075733734,2.99353599831664,0.000878576866732813,0.00398288179585542,0.00154136292409266,"AT1G08980/AT1G20270/AT1G23800/AT1G23820/AT1G44170/AT1G54100/AT1G62800/AT1G65840/AT1G70310/AT2G14260/AT2G16500/AT2G17720/AT2G27450/AT2G30970/AT2G39800/AT2G43020/AT2G43080/AT3G02470/AT3G06300/AT3G25570/AT3G28480/AT3G47450/AT3G48000/AT3G55610/AT3G59050/AT4G08870/AT4G08900/AT4G25600/AT4G29720/AT4G31990/AT4G33910/AT4G34240/AT4G34710/AT4G34880/AT4G35810/AT4G36250/AT5G08170/AT5G11520/AT5G13700/AT5G14800/AT5G15950/AT5G18900/AT5G18930/AT5G19550/AT5G38710/AT5G46180/AT5G53120/AT5G61160/AT5G62530/AT5G66060",50
"Metabolism","Lipid metabolism","ath00561","Glycerolipid metabolism","64/4731","71/6305",0.901408450704225,1.2013063372839,2.95723225644979,0.00114212781896865,0.00475252344421394,0.00183921185921592,"AT1G02390/AT1G06520/AT1G12640/AT1G15080/AT1G18360/AT1G23800/AT1G32200/AT1G44170/AT1G48300/AT1G54100/AT1G54570/AT1G63050/AT1G73480/AT1G75020/AT1G80380/AT1G80460/AT2G01180/AT2G11810/AT2G18730/AT2G19450/AT2G20900/AT2G37790/AT2G38110/AT3G02030/AT3G03520/AT3G06510/AT3G09560/AT3G11430/AT3G11670/AT3G18850/AT3G26820/AT3G26840/AT3G44830/AT3G48000/AT3G51520/AT3G56040/AT3G56310/AT3G57140/AT3G57650/AT4G00400/AT4G00550/AT4G01950/AT4G25840/AT4G30340/AT4G30580/AT4G31780/AT4G33030/AT4G34240/AT4G36250/AT5G01220/AT5G01670/AT5G04040/AT5G06090/AT5G07920/AT5G08370/AT5G08380/AT5G13640/AT5G20410/AT5G41120/AT5G41130/AT5G42870/AT5G57440/AT5G60620/AT5G63770",64
"Metabolism","Metabolism of terpenoids and polyketides","ath00906","Carotenoid biosynthesis","31/4731","32/6305",0.96875,1.29105236736419,2.86147986128406,0.00116402381989878,0.00475252344421394,0.00183921185921592,"AT1G03055/AT1G06820/AT1G08550/AT1G10830/AT1G30100/AT1G31800/AT1G52340/AT1G52400/AT1G78390/AT2G26170/AT2G27150/AT2G29090/AT2G44990/AT3G04870/AT3G10230/AT3G14440/AT3G19270/AT3G21420/AT3G53130/AT4G14210/AT4G18350/AT4G19170/AT4G19230/AT4G25700/AT4G32810/AT4G36470/AT5G17230/AT5G45340/AT5G52570/AT5G57030/AT5G67030",31
